분류,제목,키워드,URL
사회,저출산에도 서울 20~40대 미혼여성 절반 “난자 얼리고파”,"저출산,난자,서울,미혼,여성,절반,서울,여성,미혼,절반,난자,동결,시술,서울시,여성,가족,정책,리뷰,서울시,난자,동결,시술비,지원,사업,수요,보고서,서울,거주,비혼,여성,난자,동결,시술,경험자,제외,790명,난자,동결,시술,생각,응답,51.4%,집계,자발적,검색,지인,병원,상담,4.3%,조사,응답,44.3%,난자동결시술,학업,경력,포함,출산,대비,44.8%,답변,출산,계획,나중,생각,26.8%,조금,나이,보관,난자,냉동,생각,24.6%,서울시,난자,동결,시술비,지원,사업,참여,의향,여성,30대,55%,20대,28.6%,40대,16.5%,월평균,가구,소득,250만,500만,미만,38.3%,500만,750만,미만,27.9%,750만,20.8%,집계,250만,미만,13.1%,취업,여부,취업자,91.3%,미취업자,8.7%,압도적,교육,수준,대학교,졸업,70%,,대학원,졸업,18.4%,대졸,88%,조사,고등학교,졸업,11.6%,상대적,고학력자,보고서,조사,결과,여성들,출산,의지,학업,경력,안정,사회,경제적,상황,시술,출산,조절,시행,사업,범위,확대,요구,비율,과반,동결난자,보관료,포함,만큼,보관료,지원,방안,제안,한국,0.72명,기준,출산,역대,최저,기록",http://www.mk.co.kr/article/11157438
국제,"러, 우크라 경찰서에 미사일 “10월 드론 공격 역대 최다""","우크라,경찰서,미사일,10월,드론,공격,역대,최다,러시아군,1일,현지,시각,하르키우,우크라이나,북동부,공습,1명,30여명,키이우인디펜던트,현지,매체,보도,지역,당국,이날,4시,하르키우,2발,탄도,미사일,경찰서,건물,10여,민간,주택,파괴,경찰관,30여명,러시아군,키이우,도시,하르키우,공습,도네츠크주,중심,동부전선,진격,속도,블룸버그통신,우크라이나,당국,정보,공유,전황,기록,딥스테이트,지도,결과,러시아군,3개월,점령,영토,7월,점령,지역,마지막,점령지,주간,단위,최대,규모,우크라이나군,10월,러시아군,개전,2023대,공격,드론,종전,기록,9월,1339대,우크라이나군,집계,러시아군,공격,우크라이나,영토,동원,드론,6987대,드론,공격,지난달,발생,러시아,국방부,총참모부,우크라이나군,드론,지휘,센터,공습,이날,람잔,카디로프,체첸공화국,수장,체첸,구데르메스,군사학교,공습,보복,지휘센터,지난달,우크라이나군,드론,지휘,센터,공격,주장,공격,9명,사망,17명,우크라이나군,대화,감청",https://www.chosun.com/international/international_general/2024/11/02/XMO7XGEQERCFRHE6O5RWOGHOME/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
문화,"​​​​​​​[포토] 모델 실비아, '2024 페이스 오브 아시아 오라클 피부과상 수상'","포토,모델,실비아,수상,페이스,오브,아시아,오라클,피부과상,road,하이원리조트,지엘&디어크리스틴,페이스,오브,아시아,road,하이,원리조트,지엘,디어크리스틴,FACE,road,Dear,Kristin,아시아모델페스티벌조직위원회,회장,양의식,국제소셜인플루언서협회,회장,정준호,주최&주관,한국메이크업전문가직업교류협회,문화,체육,관광부,하이원리조트,한국,메이크업,전문가,직업,류협회,회장,안미려,후원,한국모델협회,한국뷰티스타일리스트,직업,협회,1일,강원도,정선군,하이원리조트,컨벤션,센터,컨벤션,원장,노영우,오라클피,부과,왼쪽,실비아,SILVIA,인도네시아,기념촬영,25개국,아시아,개국,국가별,대회,선정,모델들,남녀,모델,오프닝,무대,진바비,덕다이브,TOP,DONJ,ATTWAL,EM,Evita,Mairesse,포튼가먼트,패션,브랜드,패션쇼,아시아,모델,전통복,무대,재능,하이원리조트,high1,Resort,X.I.E.L,지엘,Dear,Kristin,디얼,크리스틴,오라클,피부과,Koala,Karma,코알라카르마,호서대학교,RAYDEL,레이델,HOMME,COLLECTION,대경대학교,지베르니,아크웰,슬밋,우즈넥스,UZNEX,비투지게임즈,더다이어트,Diet,타임레아,TIMEREA,마이크로청담,진바비,YOU&I,홀딩스,스타아일랜드글로벌,TAR,ISLAND,GLOBAL,road,하이원리조트,지엘&디어크리스틴,페이스,오브,아시아,road,하이,원리조트,지엘,디어크리스틴,수상내역,대상,GRAND,PRIZE,AWARDS,사라,SARA,우즈베키스탄,여자1등,FACE,ASIA,WINNER,줄리아,JULIA,스리랑카,남자1등,FACE,ASIA,WINNER,심지훈,한국,하이원상,JEN,오스트레일리아,디어,크리스틴,심지훈,한국,지엘상,줄리아,JULIA,스리랑카,국제소셜인플루언서상,샤흐조드,SHAHZOD,타지키스탄,star,island,global,데미리,DEMI,LI,중국,아크웰상,아이다,AIDANA,카자흐스탄,우즈넥스상,사라,SARA,우즈베키스탄,오라클,피부과상,실비아,SILVIA,인도네시아,대경대학교상,고준규,한국,YOU&I,홀딩스상,코니카,KONIKA,방글라데시,코알라,카르마상,원세현,한국,타임리아,지니,JINI,몽골,진바비상,소마,삼히따,SOMA,SAMTHITHA,인도,스칼프뷰티상,마이크로청담,탈모왕,스칼,프뷰티상,이썬,ETHAN,말레이시아,수가인상,서수연,한국",https://www.ajunews.com/view/20241102095214647
정치,[속보]군산시의회와 대립각 세운 군공노 한발 물러서  공직사회 ‘온도차’,"군산시의회,대립각,군공노,공직,사회,온도,군산시의회,본회의장,속보,군산시,공무원,노동조합,위원장,박덕하,군공노,시의원,공무원,비하,모욕,발언,모양새,군공노,군산시,공무원,노동조합,대의원회,강경,투쟁,방안,투쟁,신고센터,조합원,인권,침해,신고,센터,개설,시의회,의정,활동,평가,결정,공직사회,군공노,결정,온도차,군공노,지난달,업무보고,시의원,막말,파문,2번,사과,촉구,성명,강경,투쟁,시의회,의장단,군공노,집행부,회담,시정발전,자성,의견,노조,군공노,방안,단기,투쟁,면담,시의원,합리적,의정,활동,촉구,모니터링,강화,가칭,투쟁,방안,조합원,인권,침해,신고,센터,개설,가칭,평가시스템,시의회,의정,활동,평가,발생,인권,침해,상황,발생,투쟁,방안,항의,입장,공표,시위,합동집회,방침,공직사회,군공노,결정,의견,실제,대의원,회의,노조,집행부,대의원,이견,대의원,자리,대의원,공무원,비하,모욕,발언,시의원들,공개적,사과,의견,개진,군공노,대안,법적조치,인권위,제소,강경,방침,허울,투쟁,행태,발생,보장,공무원,의원,그동안,행태,사안,지속,발생,막말,당사자,사과,투쟁,중단,애초,투쟁,시작,불만,공무원,투쟁,중단,의원,재발,방지,입장,특정,의원,행태,시의회,의장단,통제,당사자,본인,큰소리,투쟁,행정사무감사,예산심의,회기,회기,보복,행위",https://www.jjan.kr/article/20241102580002
사회,"의료계 입장 달라졌나 교수단체, 2025년 의대 정원 ‘원점 재검토’ 아닌 ‘인원 재조정’ 요구","교수단체,의료,입장,교수,단체,재검토,의대,정원,원점,인원,요구,정부,의대,증원,반발,2월,학교,의대생,자율,휴학,허용,협의체,출범,교수,의대,모집,인원,요구,전공의,의대생,요구,재검토,의대,정원,원점,관측,의료,전국의대교수비상대책위원회,전의비,총회,성명서,교육부,의대학사,운영,대학,자율,의대,모집,인원,강조,서울,시내,의과대학,전의비,의대증원,강행,2025년도,학생들,복귀,의대,7500명,수업,사상,초유,사태,발생,의대,교육,전공,수련,10여년,상황,주장,정부,무모,증원정책,사태,발생,의대교수들,수차례,경고,교육,수련,2025년도,휴학생들,복귀,전의비,5년,5.5년,방침,교육부,구체적,상명하달식,불필요,간섭,자율,침해,의학,교육,부실,조장,예과,단축,여부,결국,대학,결정,강조,교육부,간섭,의대학사,운영,총장,의대학장,의대교수들,자율적,사태해결,여건,마련,역할,충실,촉구,전의비,의대,모집,인원,목소리,의대,증원,폐지,원점,걸음,입장,대학병원,의료진,이동,전의비,사상,초유,의대생,휴학,사태,만시지탄,한탄,의대,모집,인원,획기,강조,대학,총장,모집요강,준수,모집,인원,재조정,묘수,2024학번,신입,교육,상황,강조,방침,사실,정부,의대,모집,인원,재조정,방안,시행,취지,전의비,교육부,운영,대학,학사,간섭,대학,여건,자율적,휴학,처리,수시모집,정시,모집,인원,선발,입시전형,대학,자율,보장,강조,전의비,중대본,열린토론,의료계,협의체,참여,제안,토론,안건,의료,정상,논의,의미,강조,의료파행,책임,정부,여당,국민,의견,정부,토론,의대,모집,인원,안건,논의,협의체",http://www.segye.com/content/html/2024/11/01/20241101504824.html
국제,107세 할머니 이마에 자란 10cm ‘뿔’ 화제 “장수 상징” 응원,"이마,할머니,10cm,화제,장수,상징,응원,중국,할머니,이마,화제,현지,누리,장수,상징,응원,할머니,제거,계획,지난달,현지시각,뉴욕포스트,미러,외신,이마,거대,중국,국적,할머니,사연,소개,보도,이마,시작,길이,정도,의료진,자외선,노출,발생,피부,추정,의료진,건강,상태,양호,피부뿔,건강,악영향,가능성,진단,피각,피부,피부,바깥층,표피,과도,성장,돌기,모양,질환,부위,자외선,노출,얼굴,피각,노년기,발생,피부암,가능성,발견,신속,발견,조직검사,진행,전염성,계획,제거,현지,누리,건강,할머니,장수,상징,응원",http://www.munhwa.com/news/view.html?no=2024110201039910173006
IT_과학,"240억km 떨어진 보이저1호 깨웠다 나사, 재교신 성공","240억,보이,1호,나사,성공,비상,모드,발동,지구,연락,보이저,교신,재개,성공,미국항공우주국,NASA,지구,240억,태양계,비행,우주,탐사선,보이저,교신,재개,성공,보도,보이저,인류,우주,탐사선,지난달,보이저,NASA,내부,히터,작동,명령,비상모드,전환,전원,절약,교신,중단,NASA,과학자들,보이저,2개,교신,장착,활용,해결,고주파수,정밀,데이터,전송,가능,X밴드,전원,상태,상대적,주파수,전력,송신기,해법,송신기,신호,1981년,43년,사용,해결,실마리,제공,NASA,송신기,보이저,송신기,재작동,방법,계획,CNN,NASA,보이저,교신,왕복,시간,소요,보이저,발사,지구,240억,우주,항해,속도,22시간,거리",http://www.edaily.co.kr/news/newspath.asp?newsid=01895846639081784
국제,“130년 관측 사상 처음” 후지산 진짜 심상찮다 日 비상,"사상,관측,후지산,진짜,비상,겨울,후지산,첫눈,통계,작성,시작,1894년,10월,관측,미디어,일본,기상,협회,공식,일기,예보,전문,텐키,10월,첫눈,결국,후지산,확인,보도,높이,후지산,첫눈,산꼭대기,고후,지방,기상대,직원,1894년,맨눈,확인,과거,적설,관측,1955년,26일,확인,지지난해,관측,사상,소식,10월,결국,평년,기온,지속,현상,텐키,일본,기온,여름,평균,통계,기록,사상,최고,더위,이례적,9~10월,상태,후지산,절경,명소,유명,야마나시현,후지요,거리,상인,일본,언론,인터뷰,단풍,배경,후지산,첫눈,텐키,6일,7일,가능성,예보",http://www.seoul.co.kr/news/newsView.php?id=20241102500008
IT_과학,"소식 끊겼던 47살 ‘보이저 1호’  NASA, 43년간 사용 않던 송신기로 교신 성공","소식,1호,보이저,NASA,43년,사용,송신기,교신,성공,미국,항공,우주국,NASA,지구,240억,태양계,비행,우주,탐사선,보이저,교신,재개,성공,CNN,1일,현지시간,NASA,전원,동면,상태,보이저,연락,방법,보도,인류,비행체,우주,탐사,보이저,발생,지난달,47년,발사,우주,방사선,노출,손상,위험,보이저,부품,보호,NASA,내부,히터,작동,명령,발신,발단,지구,명령,보이저,비상,모드,전환,NASA,보이저,우주,신호,감지,NASA,보이저,비상,모드,전원,절약,교신,전원,공급,중단,지구,연락,NASA,보이저,교신,46시간,한쪽,신호,도착,23시간,소요,해결,NASA,과학자들,보이저,교신,장착,사실,주목,NASA,고주파수,정밀,데이터,전송,가능,X밴드,보이저,교신,보이저,상대적,주파수,이용,송신,장착,신호,1981년,43년,사용,NASA,과학자,S밴드,보이저,교신,시도,신호,성공,보이저,전력,자체적,송신기,중단,상대적,전력,사용,송신기,작동,추정,NASA,송신기,보이저,교신,송신기,재작동,방법,계획,보이저,쌍둥이,탐사선,보이저,1977년,보름,간격,발사,기간,작동,동시,우주,비행,우주,탐사선",https://www.khan.co.kr/science/science-general/article/202411020951001
IT_과학,"'청춘스타' TOP5 류지현, 5개월 만에 돌아온다 새 싱글 '도망갈까' 발매","청춘스타,TOP5,류지현,5개월,싱글,발매,청춘스타,TOP5,류지현,가을,감성,노래,류지현,정오,디지털,싱글,발매,류지현,전작,혼자,5개월,신곡,가을,편안,멜로디,인상적,일상,상대,잠깐,일탈,상상,건반,기타,플루트,소리,사운드,선사,상상,바람,가사,류지현,보이스,완벽,기분,에너지,전달,소속사,류지현,신곡,분들,일상,자유,류지현,발매,혼자,디지털,싱글,5개월,신곡,R&B,알앤비,장르,전작,소화,음악,변신,류지현,특유,보컬,반전,매력,예정,류지현,청춘스타,채널,오디션,프로그램,최종,차지,음악,활동,Get,ready,레디,혼자,싱글,음악,세계,3월,싱글,일본,디지털,싱글,발매,일본,반응,류지현,디지털,싱글,정오,각종,온라인,음원,사이트,감상",http://biz.heraldcorp.com/view.php?ud=20241102050021
문화,"​​​​​​​[포토] 모델 고준규, '2024 페이스 오브 아시아 대경대학교상 수상'","포토,모델,고준규,페이스,오브,아시아,대경대학교상,수상,road,하이원리조트,지엘&디어크리스틴,페이스,오브,아시아,road,하이,원리조트,지엘,디어크리스틴,FACE,road,Dear,Kristin,아시아모델페스티벌조직위원회,회장,양의식,국제소셜인플루언서협회,회장,정준호,주최&주관,한국메이크업전문가직업교류협회,문화,체육,관광부,하이원리조트,한국,메이크업,전문가,직업,류협회,회장,안미려,후원,한국모델협회,한국뷰티스타일리스트,직업,협회,1일,강원도,정선군,하이원리조트,컨벤션,센터,컨벤션,이치균,대경대학교,남양주,캠퍼스,총괄,본부장,왼쪽,고준규,기념촬영,25개국,아시아,개국,국가별,대회,선정,모델들,남녀,모델,오프닝,무대,진바비,덕다이브,TOP,DONJ,ATTWAL,EM,Evita,Mairesse,포튼가먼트,패션,브랜드,패션쇼,아시아,모델,전통복,무대,재능,하이원리조트,high1,Resort,X.I.E.L,지엘,Dear,Kristin,디얼,크리스틴,오라클,피부과,Koala,Karma,코알라카르마,호서대학교,RAYDEL,레이델,HOMME,COLLECTION,대경대학교,지베르니,아크웰,슬밋,우즈넥스,UZNEX,비투지게임즈,더다이어트,Diet,타임레아,TIMEREA,마이크로청담,진바비,YOU&I,홀딩스,스타아일랜드글로벌,TAR,ISLAND,GLOBAL,road,하이원리조트,지엘&디어크리스틴,페이스,오브,아시아,road,하이,원리조트,지엘,디어크리스틴,수상내역,대상,GRAND,PRIZE,AWARDS,사라,SARA,우즈베키스탄,여자1등,FACE,ASIA,WINNER,줄리아,JULIA,스리랑카,남자1등,FACE,ASIA,WINNER,심지훈,한국,하이원상,JEN,오스트레일리아,디어,크리스틴,심지훈,한국,지엘상,줄리아,JULIA,스리랑카,국제소셜인플루언서상,샤흐조드,SHAHZOD,타지키스탄,star,island,global,데미리,DEMI,LI,중국,아크웰상,아이다,AIDANA,카자흐스탄,우즈넥스상,사라,SARA,우즈베키스탄,오라클,피부과상,실비아,SILVIA,인도네시아,대경대학교상,고준규,한국,YOU&I,홀딩스상,코니카,KONIKA,방글라데시,코알라,카르마상,원세현,한국,타임리아,지니,JINI,몽골,진바비상,소마,삼히따,SOMA,SAMTHITHA,인도,스칼프뷰티상,마이크로청담,탈모왕,스칼,프뷰티상,이썬,ETHAN,말레이시아,수가인상,서수연,한국",https://www.ajunews.com/view/20241102094857646
스포츠,"맨유가 텐 하흐 대신 선택한 감독은 ‘39세’ 아모림 2027년까지 계약, 팀 합류는 11일부터","맨유,하흐,선택,감독,39세,아모림,2027년,계약,합류,11일,사진,리스본,EPA연합뉴스,맨체스터,유나이티드,감독,루벤,아모림,선임,맨유,1일,한국시간,공식,홈페이지,에릭,에릭,하흐,후임,아모림,감독,선임,계약기간,옵션,연장,포함,아모림,감독,소속팀,스포르팅,CP,포르투갈,업무,마무리,11일,합류,예정,맨유,부진,지난달,감독,하흐,결별,선임,아모림,감독,속도,맨유,아모림,감독,유럽,무대,흥미,평가,사령탑,스포르팅,우승,차례,정규,리그,번째,19년,설명,아모림,감독,맨유,역사,감독,아모림,감독,합류,니스텔로이,코치,예정,니스텔루이,컵대회,레스터시티",https://www.sportsseoul.com/news/read/1473999
지역,"경기도농수산진흥원, 안전보건경영시스템 국제표준 인증 획득","경기도농수산진흥원,안전,보건,경영,국제,표준,인증,획득,경기도,농수산진흥원,관계자,인증,안전,보건,경영,국제,표준,ISO,획득,기념,제공,진흥원,환경,급식,사업,추진,경기도농수산진흥원,시설,안전,보건,분야,국제,표준,인증,경기도농수산진흥원,한국경영인증원,지난달,경기도친환경농산물유통센터,인증,안전,보건,경영,국제,표준,ISO,수여,ISO,산업재해,질병,감소,규정,국제,표준,관리,사업장,발생,각종,위험,예측,예방,조직,안전보건,체계적,관리,최창수,경기도,농수산진흥원장,한국경영인증원,관계자,수여식,참석,축하,최창수,경기도,농수산진흥원장,안전,조성,근로,환경,교육,사후관리,2만,면적,건축,면적,지하,1층,지상,규모,경기도친환경농산물유통센터,진흥원,입주업체,260명,근무,중대,재해,예방,안전,보건,문화,확산,4월,입주,기업,개소,업무협약,공동,안전,관리,업무,협약,체결,상호협력",https://www.incheonilbo.com/news/articleView.html?idxno=1269772
경제,"칩 강자 인텔, 美 다우지수서 퇴출...AI 올라탄 엔디비아 합류","인텔,강자,다우,퇴출,AI,엔디비아,합류,인텔,주가,50%,급감,겔싱어,인텔,최고,경영자,현지시간,피닉스,미국,애리조나주,행사,인텔,비전,신형,인공,지능,AI,반도체,키노트,기조연설,진행,사진,인텔,미국,증시,대표,다우지수,인텔,인공지능,AI,엔비디아,반도체,기업,편입,1일,현지시간,CNBC,스탠더드앤드푸어스,S&P,다우존스인덱스,성명,8일,인텔,다우,제외,엔비디아,건축,자재,회사,셔윈,윌리엄스,다우지수,편입,시장,엔비디아,주식,분할,가능성,다우,지수,편입,가능,제기,엔비디아,주가,AI,180%,상승,180%,제조,절대강자,전통,인텔,반도체,기업,엔비디아,25년,다우지수,퇴출,인텔,주가,50%,하락,50%,다우지수,운영,S&P,다우,존스,지수,S&P,Dow,Jones,Indices,결정,구성,종목,전반적,회사,평판,지속적,성장,가능,제시,투자자들,관심,종목,멤버,추가",https://www.ajunews.com/view/20241102094404643
사회,초인종 누르더니 “물 좀 주세요” 집 앞에 찾아온 ‘도를 아십니까’ [e글e글],"초인종,e글e글,사이비,종교,추정,교인,집단,요구,사연,보배드림,지난달,온라인,커뮤니티,누리꾼,누리,여성,교인,초인종,종이컵,종이컵,편의점,교인들,대꾸,교인들,학생,학생,요구,사연,집착,이젠,토로,길거리,포교,활동,사람들,행인,도믿맨,사람,혼자,사람,접근,포교,행위,금전,요구,사연,누리꾼,화장실,사람,경험담,공유,사람,초인종,상대,사기,당부",https://www.donga.com/news/Society/article/all/20241102/130346356/2
경제,[돈+Cars] 전기차의 미래가 궁금하거든 `폴스타4`를 봐라,"전기차,미래,폴스타4,뒷유리,파격,디자인,공간활용성,시야,확보,태블릿,디스플레이,5분할,가능,방향,지시,소리,정숙성,폴스타,뒷유리,파격적,디자인,고급,내부,정숙,승차감,마지막,감탄,폴스타,스웨덴,브랜드,프리미엄,전기차,자청,폴스타,브랜드,아이덴티티,정체성,방향성,전기,구동,디자인,성능,혁신,친환경성,노력,결실,미래,모빌리티,대표,전기차,디자인,혁신적,일반적,생각,전문가,일반,대중,디자인,혁신,대표적,실루엣,램프,로봇,램프,우주선,실루엣,폴스타,폴스타,뒷유리,파격적,선택,뒷유리,고정관념,쿠페,스포츠,실용차,SUV,모던,미니멀리즘,디자인,완성,공간활용성,시야,뒷유리,불안,운전,결과,신경,시승,당일,디지털,룸미러,선명,후방,시야,확보,안전,생각,폴스타,중형,SUV,전고,쏘렌토,차이,탑승,헤드룸,확보,차이,폴스타,배터리팩,센투팩,디자인,높이,15%가량,설명,내부,특별,뒷유리,2열,개인적,비즈니스,라운지,뒤쪽,앰비언트,라이트,프리미엄,앰비언트,라이트,9개,행성,콘셉트,제공,분위기,내부,소재들,고급,차량,소재,투명,소비자,가치,소비,지원,첨단,요즘,트렌드,계기반,센터디스플레이,공조,연결,파노라믹,디스플레이,디지털,계기반,센터,디스,플레이,분리,방식,덕분,만큼,태블릿,PC,디스플레이,인치,탑재,시인성,우수,화면,5분할,사용,주행,내비게이션,지장,헤드업,디스플레이,계기반,안내,계기반,지도,시선,안정적,정면,과속카메라,거리,단속구간,표시,센스,운전자,프라이빗,사운드,시트,나파,가죽,옵션,선택,스피커,모드,프라이빗,설정,운전석,헤드레스트,소리,동승자,뒷좌석,VIP,유용,폴스타,프리미엄,전기차,만큼,정숙,신경,전기차,엔진,소음,방향,지시,소리,안정적,주행,커브길,동승석,탑승,일반적,전기차,멀미,드라이브,페달,가능,표준,가지,조절,선택,내연기관차,감속,볼보자동차,아리아,음성인식,제어,정숙,음성인식,노래,선곡,마사지,시트,주행,음성인식,처리,회생,제동,조절,주행,주행,제공,총평,전기차,미래,얼리어답터,프리미엄,프라이빗,공간,소비자,선택지,가격,롱레인지,싱글,모터,기준,시작,고급,사양,플러스팩,선택,추가,폴스타,싱글,모터,후륜,구동,방식,최고,출력,마력,최대,토크,343Nm,발휘,중국,CATL,100kwh,NCM,니켈,코발트,망간,배터리,탑재,주행,충전,기준,폴스타코리아,폴스타,출시,도약,준비,판매,폴스타,폴스타코리아,라인업,확장,신차,내년,생산,브랜드,포지셔닝,강화,계기,폴스타코리아,내년,경기,남부,지역,폴스타,스페이스,추가,시작,2026년,8곳,폴스타,스페이스,구축,계획,티맵,아이파킹,협업,목적지,확장,충전,인프라,투자,방침",http://www.dt.co.kr/contents.html?article_no=2024110202109932091001&ref=jeadan
사회,공무원 임용을 위해!,"공무원,임용,이형석,7급,공무원,지방직,지도직,필기시험,지원자들,2일,상봉중학교,서울,중랑구,마련,시험장,필기시험,17개,마련,시험장,시행,행정안전부,지방직,선발,2만,39명,지원,70.9대,경쟁률,기록",https://www.newspim.com/news/view/20241102000030
사회,지방공무원 임용 필기시험 시행,"지방,공무원,임용,필기,시험,시행,이형석,7급,공무원,지방직,지도직,필기시험,지원자들,2일,상봉중학교,서울,중랑구,마련,시험장,필기시험,17개,마련,시험장,시행,행정안전부,지방직,선발,2만,39명,지원,70.9대,경쟁률,기록",https://www.newspim.com/news/view/20241102000031
문화,"TXT 휴닝카이, 콘서트 도중 급체로 퇴장 “컨디션 회복에 집중”","TXT,휴닝카이,급체,콘서트,도중,퇴장,컨디션,회복,집중,투모로우바이투게더,TXT,휴닝카이,콘서트,도중,컨디션,난조,퇴장,뮤직,소속사,빅히트,1일,플랫폼,위버스,휴닝카이,진행,액트,투모로우바이투게더,월드,투어,프로미스,앙코르,서울,1일,공연,급체,컨디션,난조,무대,휴식,컨디션,회복,집중,공연,참여,아티스트,의지,아티스트,건강,최우선,스케줄,무대,참여,유동적,운영,계획,MOA,양해,부탁,휴닝카이,건강,모습,아티스트,컨디션,회복,최선,약속,투모로우바이투게더,케이스포돔,서울,송파구,올림픽공원,번째,월드,투어,앙코르,콘서트,진행",http://www.mk.co.kr/article/11157437
국제,로제 ‘아파트’ 영국 싱글차트 2위 몇 주 뒤 ‘1위 가능성’,"로제,아파트,2위,영국,싱글,차트,가능,로제,걸그룹,블랙,핑크,마스,팝스타,브루노,듀엣곡,아파트,싱글차트,영국,오피셜,싱글,차트,2위,차지,로제,영국,싱글,차트,순위,기록,가수,케이팝,여성,기록,1일,현지시각,공개,최신,순위,아파트,지지,페레즈,세일러,Sailor,Song,2위,아파트,차트,지난달,4위,진입,1위,도전,순위,계단,케이팝,가수,차트,정상,사례,싸이,강남스타일,유일,아파트,다음달,공개,로제,정규,앨범,로지,rosie,선공개곡,한국,게임,한국,아파트,게임,영감,아파트,아파트,반복,중독적,후렴구,밴드,사운드,공개,대중적,인기,세계,차트,싱글차트,빌보드,메인,싱글,차트,8위,기록,뮤직비디오,11일,음원,공개,2억,유튜브,조회수,돌파,틱톡,사회관계망서비스,SNS,외국,아파트,한국어,발음,영상,챌린지,유행,대중적,인기,바탕,순위,추가,여지,아파트,차트,달성,로제,영국,싱글,차트,앨범차트,1위,경험,케이팝,가수",http://www.hani.co.kr/arti/culture/culture_general/1165484.html
지역,"남원의료원, 중증장애인생산품 우선구매 우수기관 선정","남원의료원,중증,장애인,생산품,우선,구매,우수,기관,선정,전북특별자치,남원의료원,원장,오진규,전북특별자치,장애인직업재활시설협회,주관,장애인,직업,재활,기념식,우수기관,중증,장애인,생산품,우선,구매,우수,기관,선정,감사패,감사패,특별법,중증,장애인,생산품,우선,구매,중증,장애인,생산품,우선,구매,촉진,기여,기관,대상,선정,남원의료원,부서,독려,중증,장애인,생산품,우선,구매,홍보활동,연중,전개,수배전반,가구,사무용품,비품,중증,장애인,생산품,구매,1%,법정,구매,비율,초과,6.41%,전북특별자치,우선,구매,우수,기관,선정,남원의료원,남원의료원,지역거점,공공,보건,의료,기관,확대,중증,장애인,생산품,우선,구매,중증,장애인,생산품,판매,촉진,기여,확산,사회,가치,이바지",http://www.domin.co.kr/news/articleView.html?idxno=1490336
지역,"순창군, 86억원 투입 대대적인 하수관로 정비 팔 걷어","순창군,86억,투입,대대,하수관,정비,순창군,조성,정주,여건,개선,수질,환경,사업비,국비,60억,군비,투입,대대적,하수관,정비사업,추진,2026년,순창읍,백야마을,인계면,동촌마을,유등면,건곡,학촌마을,풍산면,상촌,죽전마을,하수관로,마을,하수,관로,전면,정비,실제,상촌마을,풍산면,상촌,마을,시작,사업,착수,내년,하수관,2.6,설치,81가구,배수,설비,공사,추진,차례,공사,확대,계획,사업,19억,예산,투입,공사,잔여,구간,32억,추가,투입,4.38,구간,매설,199가구,배수,설비,공사,마무리,예정,하수관,정비사업,설계,단계,지역,특성,주민,의견,반영,우천,배수,우천,배수,악취,발생,하수,처리,시설,문제점,개선,중점,단순,하수관,설치,오수,우수,분리,처리,현대식,욕실,주방,화장실,오수,마당,지붕,우수,분류,처리,효율적,하수처리,가능,전망,하수관,정비사업,주민들,생활환경,개선,보호,섬진강,수질,환경,가치,실현,중요,사업,하수,예산,국비,적극,확보,군민,안전,환경,생활,최선",http://www.domin.co.kr/news/articleView.html?idxno=1490313
